name,abbr,centroid_ra_h,centroid_dec_deg,sampled_area_sq_deg,centroid_step_deg,best_instant_utc,best_date,iso
Corona Australis,CrA,18.647159,-41.199960,127.669,0.100,2026-08-15 03:32,2026-08-15,2026-W33-6
Corona Borealis,CrB,15.884259,32.179185,178.701,0.100,2026-07-04 03:26,2026-07-04,2026-W27-6
Corvus,Crv,12.424877,-18.148235,183.985,0.100,2026-05-14 12:54,2026-05-15,2026-W20-5
Crater,Crt,11.405770,-15.707846,282.439,0.100,2026-04-28 17:58,2026-04-29,2026-W18-3
Crux,Cru,12.447973,-60.069813,68.493,0.100,2026-05-14 21:20,2026-05-15,2026-W20-5
Cygnus,Cyg,20.617448,43.087417,804.278,0.100,2026-09-16 14:35,2026-09-17,2026-W38-4
Delphinus,Del,20.680341,12.174162,188.548,0.100,2026-09-17 15:50,2026-09-18,2026-W38-5
Dorado,Dor,5.028121,-61.329961,179.250,0.100,2026-01-18 09:56,2026-01-18,2026-W03-7
Draco,Dra,16.956426,68.128425,1082.224,0.100,2026-07-19 23:01,2026-07-20,2026-W30-1
Equuleus,Equ,21.201495,7.469688,71.856,0.100,2026-09-26 08:52,2026-09-26,2026-W39-6
Eridanus,Eri,3.800630,-21.013782,1138.214,0.100,2026-01-01 11:10,2026-01-01,2026-W01-4
Fornax,For,2.767375,-31.527409,397.293,0.100,2026-12-18 17:20,2026-12-19,2026-W51-6
Gemini,Gem,7.153033,23.438455,513.617,0.100,2026-02-18 20:54,2026-02-19,2026-W08-4
Grus,Gru,22.524606,-45.240535,365.582,0.100,2026-10-18 01:26,2026-10-18,2026-W42-7
Hercules,Her,17.297435,28.602502,1225.018,0.100,2026-07-25 02:27,2026-07-25,2026-W30-6
Horologium,Hor,3.300843,-53.298962,248.659,0.100,2026-12-25 22:24,2026-12-26,2026-W52-6
Hydra,Hya,10.435198,-18.951844,1302.962,0.100,2026-04-13 04:19,2026-04-13,2026-W16-1
Hydrus,Hyi,2.373857,-71.579164,243.356,0.100,2026-12-13 09:18,2026-12-13,2026-W50-7
Indus,Ind,21.482235,-58.494361,293.512,0.100,2026-10-01 00:55,2026-10-01,2026-W40-4
Lacerta,Lac,22.493543,45.108508,200.494,0.100,2026-10-17 13:29,2026-10-18,2026-W42-7
Leo,Leo,10.701854,15.071927,946.779,0.100,2026-04-17 12:03,2026-04-18,2026-W16-6
Leo Minor,LMi,10.360857,33.518020,232.159,0.100,2026-04-11 23:17,2026-04-12,2026-W15-7
Lepus,Lep,5.574621,-19.080523,290.415,0.100,2026-01-26 04:53,2026-01-26,2026-W05-1
Libra,Lib,15.224862,-15.244497,538.299,0.100,2026-06-24 14:12,2026-06-25,2026-W26-4
Lupus,Lup,15.314783,-42.415266,333.720,0.100,2026-06-25 21:22,2026-06-26,2026-W26-5
Lynx,Lyn,8.087634,46.784818,545.616,0.100,2026-03-05 17:06,2026-03-06,2026-W10-5
Lyra,Lyr,18.845231,36.626261,286.636,0.100,2026-08-18 07:56,2026-08-18,2026-W34-2
Mensa,Men,5.471623,-77.512029,153.404,0.100,2026-01-24 17:18,2026-01-25,2026-W04-7
Microscopium,Mic,20.965106,-36.018519,209.388,0.100,2026-09-22 10:10,2026-09-22,2026-W39-2
Monoceros,Mon,7.018637,-2.704611,481.423,0.100,2026-02-16 18:49,2026-02-17,2026-W08-2
Musca,Mus,12.569428,-70.065254,138.332,0.100,2026-05-16 17:30,2026-05-17,2026-W20-7
Norma,Nor,16.080576,-51.619263,165.424,0.100,2026-07-07 00:09,2026-07-07,2026-W28-2
Octans,Oct,21.235593,-84.572703,290.095,0.100,2026-09-26 22:31,2026-09-27,2026-W39-7
Ophiuchus,Oph,17.303856,-5.249794,948.314,0.100,2026-07-25 04:47,2026-07-25,2026-W30-6
Orion,Ori,5.593136,5.172421,594.260,0.100,2026-01-26 11:17,2026-01-26,2026-W05-1
Pavo,Pav,19.573846,-65.620415,377.960,0.100,2026-08-30 05:27,2026-08-30,2026-W35-7
Pegasus,Peg,22.694953,19.481678,1120.927,0.100,2026-10-20 18:41,2026-10-21,2026-W43-3
Perseus,Per,3.541432,44.449212,615.363,0.100,2026-12-29 04:33,2026-12-29,2026-W53-2
Phoenix,Phe,0.782671,-47.853111,468.860,0.100,2026-11-21 06:44,2026-11-21,2026-W47-6
Pictor,Pic,5.575854,-52.503233,246.694,0.100,2026-01-26 05:18,2026-01-26,2026-W05-1
Pisces,Psc,0.636689,10.985815,890.169,0.100,2026-11-19 04:25,2026-11-19,2026-W47-4
Piscis Austrinus,PsA,22.285826,-30.719449,245.588,0.100,2026-10-14 05:11,2026-10-14,2026-W42-3
Puppis,Pup,7.660213,-33.258738,673.515,0.100,2026-02-26 20:36,2026-02-27,2026-W09-5
Pyxis,Pyx,8.909102,-28.443550,221.214,0.100,2026-03-19 02:45,2026-03-19,2026-W12-4
Reticulum,Ret,3.890169,-60.813925,114.033,0.100,2026-01-02 16:24,2026-01-03,2026-W01-6
Sagitta,Sge,19.709332,18.730885,79.967,0.100,2026-09-01 11:12,2026-09-01,2026-W36-2
Sagittarius,Sgr,19.170200,-27.517771,867.490,0.100,2026-08-23 14:28,2026-08-24,2026-W35-1
Scorpius,Sco,16.757279,-32.160910,496.840,0.100,2026-07-16 23:36,2026-07-17,2026-W29-5
Sculptor,Scl,0.462335,-32.244791,475.623,0.100,2026-11-16 15:52,2026-11-17,2026-W47-2
Scutum,Sct,18.673126,-9.862317,109.308,0.100,2026-08-15 13:31,2026-08-16,2026-W33-7
Serpens,Ser,16.494089,4.816896,636.997,0.100,2026-07-13 01:56,2026-07-13,2026-W29-1
Sextans,Sex,10.272796,-2.608110,313.767,0.100,2026-04-10 12:49,2026-04-11,2026-W15-6
Taurus,Tau,4.411554,17.088890,797.424,0.100,2026-01-09 19:48,2026-01-10,2026-W02-6
Telescopium,Tel,19.329227,-51.226152,251.590,0.100,2026-08-26 04:53,2026-08-26,2026-W35-3
Triangulum,Tri,2.136239,32.141533,132.043,0.100,2026-12-10 03:38,2026-12-10,2026-W50-4
Triangulum Australe,TrA,16.063491,-65.842061,109.888,0.100,2026-07-06 18:10,2026-07-07,2026-W28-2
Tucana,Tuc,23.839918,-64.620242,293.772,0.100,2026-11-07 11:21,2026-11-07,2026-W45-6
Ursa Major,UMa,11.039294,54.377561,1279.717,0.100,2026-04-22 22:13,2026-04-23,2026-W17-4
Ursa Minor,UMi,14.578768,86.983605,618.763,0.100,2026-06-15 06:31,2026-06-15,2026-W25-1
Vela,Vel,9.611228,-48.053795,499.744,0.100,2026-03-30 16:17,2026-03-31,2026-W14-2
Virgo,Vir,13.288780,-2.672088,1294.508,0.100,2026-05-27 11:27,2026-05-27,2026-W22-3
Volans,Vol,7.801263,-69.665085,141.272,0.100,2026-03-01 02:36,2026-03-01,2026-W09-7
Vulpecula,Vul,20.285016,24.858873,268.294,0.100,2026-09-11 01:08,2026-09-11,2026-W37-5
