name,abbr,ra_h_0.20,dec_deg_0.20,area_sq_deg_0.20,date_0.20,ra_h_0.10,dec_deg_0.10,area_sq_deg_0.10,date_0.10,ra_h_0.05,dec_deg_0.05,area_sq_deg_0.05,date_0.05,ra_h_0.025,dec_deg_0.025,area_sq_deg_0.025,date_0.025,centroid_shift_deg_0.20_to_0.10,centroid_shift_deg_0.10_to_0.05,centroid_shift_deg_0.05_to_0.025,date_shift_days_0.20_to_0.10,date_shift_days_0.10_to_0.05,date_shift_days_0.05_to_0.025
Canis Minor,CMi,7.62906834,5.91048773,183.6467,2026-02-26,7.62910081,5.91244297,183.4677,2026-02-26,7.62972358,5.91442525,183.3585,2026-02-26,7.62970046,5.91577311,183.3579,2026-02-26,0.002014,0.009501,0.001391,0,0,0
Capricornus,Cap,21.02312308,-18.74823661,413.4552,2026-09-23,21.02435147,-18.75281800,413.8207,2026-09-23,21.02410322,-18.75079474,413.9338,2026-09-23,21.02422198,-18.75019111,413.9503,2026-09-23,0.018039,0.004065,0.001792,0,0,0
Carina,Car,8.77831655,-63.05934381,494.4634,2026-03-17,8.77543615,-63.05148353,494.5327,2026-03-17,8.77580262,-63.05299656,494.4915,2026-03-17,8.77582078,-63.05313488,494.4793,2026-03-17,0.021097,0.002915,0.000185,0,0,0
Cassiopeia,Cas,1.02389517,62.54249537,598.6234,2026-11-25,1.02310718,62.55432299,598.4963,2026-11-25,1.02300152,62.55122191,598.5123,2026-11-25,1.02356199,62.55678892,598.4132,2026-11-25,0.013022,0.003186,0.006783,0,0,0
Centaurus,Cen,13.09819474,-46.09683441,1061.9278,2026-05-25,13.09954782,-46.09164285,1060.9926,2026-05-25,13.09958884,-46.09251999,1061.1516,2026-05-25,13.09932957,-46.08889202,1061.2651,2026-05-25,0.015002,0.000975,0.004521,0,0,0
Cepheus,Cep,22.32267195,72.11044402,587.8715,2026-10-15,22.32358816,72.09758745,588.6653,2026-10-15,22.32265310,72.10169883,588.3028,2026-10-15,22.32282199,72.10082932,588.3658,2026-10-15,0.013532,0.005957,0.001167,0,0,0
Cetus,Cet,1.62494636,-9.00790868,1234.1457,2026-12-03,1.62709231,-8.99907802,1232.0386,2026-12-03,1.62724181,-8.99774956,1231.3112,2026-12-03,1.62707149,-8.99732725,1231.4235,2026-12-03,0.032996,0.002583,0.002558,0,0,0
Chamaeleon,Cha,10.66970520,-80.10018683,130.4204,2026-04-17,10.68667936,-80.08790085,131.1404,2026-04-17,10.68448498,-80.08816672,131.0024,2026-04-17,10.68394853,-80.08777468,131.0057,2026-04-17,0.045492,0.005672,0.001440,0,0,0
Circinus,Cir,14.81851287,-63.20895018,93.4206,2026-06-19,14.81736461,-63.22525650,93.2453,2026-06-19,14.81744199,-63.22204756,93.3314,2026-06-19,14.81744105,-63.22197527,93.3097,2026-06-19,0.018059,0.003251,0.000073,0,0,0
Columba,Col,5.78684574,-35.62139628,270.5435,2026-01-29,5.78813719,-35.61538752,270.2776,2026-01-29,5.78796711,-35.61471454,270.2619,2026-01-29,5.78799026,-35.61461730,270.2588,2026-01-29,0.016855,0.002180,0.000299,0,0,0
Coma Berenices,Com,12.75456205,22.36350307,386.9748,2026-05-20,12.75389508,22.36076013,386.6693,2026-05-20,12.75351661,22.36931775,386.3985,2026-05-20,12.75366616,22.37129107,386.4150,2026-05-20,0.009650,0.010040,0.002863,0,0,0
Corona Australis,CrA,18.64504059,-41.19278810,127.9388,2026-08-15,18.64715916,-41.19995993,127.6688,2026-08-15,18.64727395,-41.19900872,127.7026,2026-08-15,18.64722112,-41.19917638,127.6896,2026-08-15,0.024964,0.001607,0.000619,0,0,0
Corona Borealis,CrB,15.88282597,32.17360908,178.9912,2026-07-04,15.88425851,32.17918546,178.7009,2026-07-04,15.88423992,32.17544799,178.6716,2026-07-04,15.88422214,32.17783458,178.6535,2026-07-04,0.019024,0.003745,0.002397,0,0,0
Corvus,Crv,12.42242682,-18.09348163,184.5644,2026-05-15,12.42487719,-18.14823507,183.9852,2026-05-15,12.42417193,-18.14379580,183.7329,2026-05-15,12.42454011,-18.13966175,183.8915,2026-05-15,0.064948,0.010989,0.006681,0,0,0
Crater,Crt,11.40898260,-15.65688545,285.8786,2026-04-29,11.40577014,-15.70784615,282.4392,2026-04-29,11.40655532,-15.69939561,282.0131,2026-04-29,11.40733535,-15.69571091,282.4577,2026-04-29,0.068915,0.014141,0.011851,0,0,0
Crux,Cru,12.44870729,-60.07477350,68.5990,2026-05-15,12.44797321,-60.06981327,68.4929,2026-05-15,12.44802098,-60.06833117,68.4964,2026-05-15,12.44820424,-60.06127793,68.4990,2026-05-15,0.007402,0.001525,0.007185,0,0,0
Cygnus,Cyg,20.61671525,43.08285835,804.6170,2026-09-17,20.61744831,43.08741721,804.2784,2026-09-17,20.61744000,43.08960345,803.9913,2026-09-17,20.61743514,43.08936618,803.9775,2026-09-17,0.009235,0.002188,0.000243,0,0,0
Delphinus,Del,20.67691960,12.16300030,189.4219,2026-09-18,20.68034087,12.17416180,188.5476,2026-09-18,20.67975664,12.17603455,188.6032,2026-09-18,20.67979639,12.17625538,188.5550,2026-09-18,0.051393,0.008769,0.000623,0,0,0
Dorado,Dor,5.02929190,-61.31965495,179.4707,2026-01-18,5.02812131,-61.32996060,179.2496,2026-01-18,5.02866512,-61.32969136,179.1923,2026-01-18,5.02849207,-61.32876575,179.2208,2026-01-18,0.013312,0.003923,0.001552,0,0,0
Draco,Dra,16.95182463,68.12424385,1082.8548,2026-07-20,16.95642590,68.12842527,1082.2240,2026-07-20,16.95526248,68.13037332,1082.4660,2026-07-20,16.95539428,68.12983460,1082.4185,2026-07-20,0.026052,0.006786,0.000912,0,0,0
Equuleus,Equ,21.20213216,7.41967121,71.8935,2026-09-26,21.20149500,7.46968821,71.8558,2026-09-26,21.20152378,7.46551182,71.6490,2026-09-26,21.20160085,7.46945414,71.6550,2026-09-26,0.050907,0.004198,0.004106,0,0,0
Eridanus,Eri,3.80142374,-21.04076459,1138.5826,2026-01-01,3.80062954,-21.01378174,1138.2142,2026-01-01,3.80053124,-21.01889842,1137.9587,2026-01-01,3.80055431,-21.01889232,1137.9924,2026-01-01,0.029184,0.005299,0.000323,0,0,0
Fornax,For,2.76737832,-31.52276944,398.3559,2026-12-19,2.76737469,-31.52740855,397.2933,2026-12-19,2.76769759,-31.52501566,397.4926,2026-12-19,2.76766682,-31.52474231,397.4566,2026-12-19,0.004639,0.004772,0.000479,0,0,0
Gemini,Gem,7.15132391,23.42064566,515.7499,2026-02-19,7.15303253,23.43845470,513.6170,2026-02-19,7.15270122,23.43673376,513.7379,2026-02-19,7.15278544,23.43647825,513.7702,2026-02-19,0.029499,0.004873,0.001187,0,0,0
Grus,Gru,22.52327799,-45.25474466,365.4367,2026-10-18,22.52460556,-45.24053508,365.5824,2026-10-18,22.52400176,-45.25058309,365.3837,2026-10-18,22.52413480,-45.24835307,365.4168,2026-10-18,0.019962,0.011901,0.002636,0,0,0
Hercules,Her,17.29731422,28.58893758,1225.2657,2026-07-25,17.29743517,28.60250234,1225.0181,2026-07-25,17.29742319,28.60036670,1225.1279,2026-07-25,17.29743277,28.60019573,1225.0952,2026-07-25,0.013658,0.002141,0.000212,0,0,0
Horologium,Hor,3.30172343,-53.29288537,249.5794,2026-12-26,3.30084254,-53.29896211,248.6594,2026-12-26,3.30113265,-53.29907208,248.8053,2026-12-26,3.30117061,-53.29803753,248.8186,2026-12-26,0.009965,0.002603,0.001089,0,0,0
Hydra,Hya,10.43382391,-18.95744406,1301.9927,2026-04-13,10.43519784,-18.95184425,1302.9623,2026-04-13,10.43552296,-18.95089845,1302.5706,2026-04-13,10.43528492,-18.94820065,1302.5005,2026-04-13,0.020280,0.004708,0.004322,0,0,0
Hydrus,Hyi,2.37129546,-71.58040065,243.7211,2026-12-13,2.37385683,-71.57916373,243.3558,2026-12-13,2.37446366,-71.58174556,243.2739,2026-12-13,2.37455412,-71.58142898,243.2707,2026-12-13,0.012203,0.003865,0.000533,0,0,0
Indus,Ind,21.48220243,-58.52010757,293.1600,2026-10-01,21.48223518,-58.49436133,293.5119,2026-10-01,21.48258164,-58.49215384,293.5832,2026-10-01,21.48253369,-58.49312938,293.5696,2026-10-01,0.025748,0.003500,0.001045,0,0,0
Lacerta,Lac,22.49273189,45.09867592,201.3680,2026-10-18,22.49354305,45.10850838,200.4937,2026-10-18,22.49359115,45.11252800,200.6523,2026-10-18,22.49356753,45.11002504,200.6554,2026-10-18,0.013055,0.004052,0.002515,0,0,0
Leo,Leo,10.70374775,15.04591214,948.8636,2026-04-18,10.70185361,15.07192737,946.7792,2026-04-18,10.70199637,15.07238645,946.6189,2026-04-18,10.70202193,15.07531838,946.7062,2026-04-18,0.037809,0.002118,0.002955,0,0,0
Leo Minor,LMi,10.35756484,33.54053001,232.6643,2026-04-12,10.36085709,33.51801986,232.1590,2026-04-12,10.36123930,33.51021825,231.9221,2026-04-12,10.36145611,33.51248798,231.9616,2026-04-12,0.046919,0.009150,0.003536,0,0,0
Lepus,Lep,5.57455986,-19.08260033,290.3659,2026-01-26,5.57462070,-19.08052329,290.4148,2026-01-26,5.57471343,-19.08046201,290.2855,2026-01-26,5.57470170,-19.07961561,290.2736,2026-01-26,0.002249,0.001316,0.000863,0,0,0
Libra,Lib,15.22534012,-15.25651535,538.1919,2026-06-25,15.22486192,-15.24449670,538.2989,2026-06-25,15.22492111,-15.24997834,538.0667,2026-06-25,15.22495861,-15.25032439,538.0592,2026-06-25,0.013869,0.005548,0.000644,0,0,0
Lupus,Lup,15.31530030,-42.40661572,333.3136,2026-06-26,15.31478275,-42.41526553,333.7201,2026-06-26,15.31482478,-42.41157877,333.6493,2026-06-26,15.31479682,-42.41155999,333.6552,2026-06-26,0.010377,0.003716,0.000310,0,0,0
Lynx,Lyn,8.08764995,46.78726393,545.3733,2026-03-06,8.08763372,46.78481753,545.6155,2026-03-06,8.08735227,46.78576777,545.4711,2026-03-06,8.08733958,46.78686831,545.4297,2026-03-06,0.002452,0.003043,0.001108,0,0,0
Lyra,Lyr,18.84442725,36.61589709,287.2023,2026-08-18,18.84523120,36.62626136,286.6356,2026-08-18,18.84542016,36.62750573,286.6657,2026-08-18,18.84535366,36.62673440,286.6532,2026-08-18,0.014181,0.002593,0.001112,0,0,0
Mensa,Men,5.47200046,-77.51808602,153.3373,2026-01-25,5.47162337,-77.51202850,153.4035,2026-01-25,5.47161102,-77.51315197,153.3883,2026-01-25,5.47158876,-77.51306576,153.3844,2026-01-25,0.006180,0.001124,0.000112,0,0,0
Microscopium,Mic,20.96398953,-36.00385168,210.2135,2026-09-22,20.96510606,-36.01851897,209.3878,2026-09-22,20.96514435,-36.01948323,209.3983,2026-09-22,20.96516779,-36.01793242,209.3913,2026-09-22,0.019967,0.001070,0.001577,0,0,0
Monoceros,Mon,7.01723136,-2.70960165,481.8558,2026-02-17,7.01863673,-2.70461073,481.4232,2026-02-17,7.01866151,-2.70218085,481.5490,2026-02-17,7.01864608,-2.70159893,481.5547,2026-02-17,0.021640,0.002458,0.000626,0,0,0
Musca,Mus,12.56960221,-70.07575272,138.3981,2026-05-17,12.56942828,-70.06525350,138.3321,2026-05-17,12.57043095,-70.05635814,138.3351,2026-05-17,12.57050349,-70.05645003,138.3281,2026-05-17,0.010537,0.010268,0.000382,0,0,0
Norma,Nor,16.08046366,-51.62907536,165.4610,2026-07-07,16.08057576,-51.61926256,165.4239,2026-07-07,16.08039458,-51.62031454,165.4599,2026-07-07,16.08039641,-51.61918441,165.4719,2026-07-07,0.009868,0.001988,0.001130,0,0,0
Octans,Oct,21.23546305,-84.56782211,289.9467,2026-09-27,21.23559271,-84.57270290,290.0945,2026-09-27,21.23442012,-84.57386899,290.0581,2026-09-27,21.23449705,-84.57426533,290.0553,2026-09-27,0.004884,0.002031,0.000411,0,0,0
Ophiuchus,Oph,17.30417108,-5.26322341,948.4609,2026-07-25,17.30385565,-5.24979409,948.3139,2026-07-25,17.30401552,-5.24830977,948.3209,2026-07-25,17.30402766,-5.24865539,948.2978,2026-07-25,0.014232,0.002812,0.000390,0,0,0
Orion,Ori,5.59379451,5.16297940,594.0506,2026-01-26,5.59313553,5.17242096,594.2599,2026-01-26,5.59340595,5.17566419,594.1765,2026-01-26,5.59337058,5.17394429,594.1006,2026-01-26,0.013640,0.005181,0.001799,0,0,0
Pavo,Pav,19.57194421,-65.62131120,378.2439,2026-08-30,19.57384612,-65.62041469,377.9605,2026-08-30,19.57371660,-65.62053321,377.9502,2026-08-30,19.57372091,-65.62035944,377.9504,2026-08-30,0.011810,0.000811,0.000176,0,0,0
Pegasus,Peg,22.69622417,19.47389047,1121.0491,2026-10-21,22.69495300,19.48167791,1120.9268,2026-10-21,22.69504421,19.48470807,1120.8905,2026-10-21,22.69484053,19.48405832,1120.7099,2026-10-21,0.019591,0.003293,0.002953,0,0,0
Perseus,Per,3.54135341,44.45350136,615.6507,2026-12-29,3.54143212,44.44921160,615.3629,2026-12-29,3.54162459,44.44951875,615.1324,2026-12-29,3.54154754,44.45057121,615.1429,2026-12-29,0.004372,0.002084,0.001337,0,0,0
Phoenix,Phe,0.77847967,-47.85868737,470.0599,2026-11-21,0.78267054,-47.85311097,468.8597,2026-11-21,0.78316001,-47.84755018,469.0458,2026-11-21,0.78304055,-47.84848619,468.9311,2026-11-21,0.042548,0.007430,0.001524,0,0,0
Pictor,Pic,5.57603708,-52.50209189,246.3555,2026-01-26,5.57585382,-52.50323295,246.6945,2026-01-26,5.57588846,-52.50460978,246.7041,2026-01-26,5.57588817,-52.50442466,246.7010,2026-01-26,0.002025,0.001413,0.000185,0,0,0
Pisces,Psc,0.63669936,10.98754152,887.1663,2026-11-19,0.63668896,10.98581513,890.1687,2026-11-19,0.63745500,10.98195232,889.7994,2026-11-19,0.63731441,10.97693309,889.6202,2026-11-19,0.001733,0.011923,0.005429,0,0,0
Piscis Austrinus,PsA,22.28168211,-30.72091638,246.5498,2026-10-14,22.28582601,-30.71944853,245.5877,2026-10-14,22.28593500,-30.71861679,245.5196,2026-10-14,22.28589030,-30.71939828,245.4847,2026-10-14,0.053456,0.001633,0.000971,0,0,0
Puppis,Pup,7.66111764,-33.23697065,673.2276,2026-02-27,7.66021287,-33.25873794,673.5152,2026-02-27,7.66042856,-33.24994934,673.4466,2026-02-27,7.66041082,-33.25049339,673.4223,2026-02-27,0.024549,0.009196,0.000588,0,0,0
Pyxis,Pyx,8.91094439,-28.48414102,221.3252,2026-03-19,8.90910220,-28.44355025,221.2141,2026-03-19,8.90897834,-28.45090254,220.8814,2026-03-19,8.90903485,-28.44961289,220.9088,2026-03-19,0.047305,0.007532,0.001489,0,0,0
Reticulum,Ret,3.89122803,-60.84569576,113.5732,2026-01-03,3.89016926,-60.81392472,114.0335,2026-01-03,3.89031017,-60.81494426,114.0173,2026-01-03,3.89032666,-60.81645544,113.9848,2026-01-03,0.032700,0.001450,0.001516,0,0,0
Sagitta,Sge,19.71039748,18.74550061,80.5096,2026-09-01,19.70933165,18.73088497,79.9672,2026-09-01,19.71047248,18.72874958,79.9091,2026-09-01,19.71044718,18.72906894,79.9373,2026-09-01,0.021044,0.016346,0.000481,0,0,0
Sagittarius,Sgr,19.17046029,-27.51781076,867.4714,2026-08-24,19.17020023,-27.51777063,867.4902,2026-08-24,19.17011872,-27.51606694,867.5871,2026-08-24,19.17011305,-27.51647453,867.5577,2026-08-24,0.003460,0.002020,0.000415,0,0,0
Scorpius,Sco,16.75712477,-32.15814884,497.6489,2026-07-17,16.75727912,-32.16091035,496.8399,2026-07-17,16.75737923,-32.15826686,496.6939,2026-07-17,16.75735962,-32.15804191,496.7419,2026-07-17,0.003386,0.002933,0.000336,0,0,0
Sculptor,Scl,0.46378651,-32.22490833,478.5510,2026-11-17,0.46233453,-32.24479083,475.6229,2026-11-17,0.46375835,-32.24483505,474.8333,2026-11-17,0.46358472,-32.24285161,474.9740,2026-11-17,0.027106,0.018064,0.002964,0,0,0
Scutum,Sct,18.67297773,-9.89897841,109.2585,2026-08-16,18.67312587,-9.86231655,109.3079,2026-08-16,18.67312019,-9.86239747,109.1119,2026-08-16,18.67311390,-9.86244703,109.1082,2026-08-16,0.036727,0.000117,0.000105,0,0,0
Serpens,Ser,16.49513118,4.83119975,638.2345,2026-07-13,16.49408902,4.81689558,636.9965,2026-07-13,16.49475214,4.81611539,636.9753,2026-07-13,16.49484809,4.81574274,636.9703,2026-07-13,0.021148,0.009942,0.001482,0,0,0
Sextans,Sex,10.27275192,-2.66764752,314.4009,2026-04-11,10.27279642,-2.60810951,313.7669,2026-04-11,10.27252012,-2.60770154,313.5696,2026-04-11,10.27257820,-2.60891518,313.5342,2026-04-11,0.059542,0.004160,0.001493,0,0,0
Taurus,Tau,4.41147591,17.08942343,797.8683,2026-01-10,4.41155399,17.08888958,797.4241,2026-01-10,4.41145765,17.09513593,797.2894,2026-01-10,4.41141913,17.09410227,797.2259,2026-01-10,0.001240,0.006397,0.001172,0,0,0
Telescopium,Tel,19.32671529,-51.22613645,251.6337,2026-08-26,19.32922733,-51.22615219,251.5896,2026-08-26,19.32921987,-51.22656962,251.5731,2026-08-26,19.32921322,-51.22664791,251.5785,2026-08-26,0.023597,0.000423,0.000100,0,0,0
Triangulum,Tri,2.13679733,32.15477511,132.6988,2026-12-10,2.13623864,32.14153329,132.0429,2026-12-10,2.13699752,32.15689515,131.7965,2026-12-10,2.13696132,32.15607363,131.8438,2026-12-10,0.015023,0.018135,0.000941,0,0,0
Triangulum Australe,TrA,16.06316042,-65.84764210,109.8215,2026-07-07,16.06349093,-65.84206071,109.8876,2026-07-07,16.06380513,-65.84183793,109.8368,2026-07-07,16.06388101,-65.84130639,109.8805,2026-07-07,0.005939,0.001942,0.000707,0,0,0
Tucana,Tuc,23.84165779,-64.59508968,295.3095,2026-11-07,23.83991772,-64.62024200,293.7723,2026-11-07,23.84004661,-64.60864667,293.6389,2026-11-07,23.84034891,-64.60920898,293.7232,2026-11-07,0.027530,0.011625,0.002024,0,0,0
Ursa Major,UMa,11.03762864,54.39876625,1278.8386,2026-04-23,11.03929377,54.37756147,1279.7175,2026-04-23,11.03844550,54.38473519,1279.0397,2026-04-23,11.03881386,54.38297392,1279.2624,2026-04-23,0.025713,0.010314,0.003668,0,0,0
Ursa Minor,UMi,14.52619246,86.91313610,616.5502,2026-06-15,14.57876820,86.98360467,618.7631,2026-06-15,14.51391667,86.95555092,619.4840,2026-06-14,14.51593284,86.96186605,619.1247,2026-06-14,0.082026,0.058580,0.006516,0,1,0
Vela,Vel,9.61206681,-48.06082009,499.7253,2026-03-31,9.61122798,-48.05379479,499.7444,2026-03-31,9.61065685,-48.05704204,499.5703,2026-03-31,9.61065669,-48.05671800,499.5176,2026-03-31,0.010958,0.006583,0.000324,0,0,0
Virgo,Vir,13.28790646,-2.68660246,1294.7018,2026-05-27,13.28877989,-2.67208785,1294.5084,2026-05-27,13.28814901,-2.66942747,1294.7782,2026-05-27,13.28849251,-2.67380202,1294.5438,2026-05-27,0.019543,0.009820,0.006755,0,0,0
Volans,Vol,7.80044479,-69.66542303,141.2572,2026-03-01,7.80126333,-69.66508512,141.2723,2026-03-01,7.80141238,-69.66510799,141.2750,2026-03-01,7.80146223,-69.66504133,141.2736,2026-03-01,0.004280,0.000777,0.000268,0,0,0
Vulpecula,Vul,20.28131409,24.86616549,269.3788,2026-09-11,20.28501562,24.85887266,268.2938,2026-09-11,20.28441314,24.86215814,268.1248,2026-09-11,20.28431662,24.86253308,268.1187,2026-09-11,0.050902,0.008834,0.001366,0,0,0
